Date,2330.TW
2019-12-17,340.0
2019-12-18,343.25
2019-12-19,338.5
2019-12-20,330.75
2019-12-23,331.75
2019-12-24,333.25
2019-12-25,332.75
2019-12-26,332.75
2019-12-27,336.5
2019-12-30,336.5
2019-12-31,332.25
2020-01-02,335.75
2020-01-03,340.25
2020-01-06,333.25
2020-01-07,329.75
2020-01-08,329.0
2020-01-09,335.5
2020-01-10,338.5
2020-01-13,340.5
2020-01-14,345.25
2020-01-15,341.25
2020-01-16,333.25
2020-01-17,333.75
2020-01-20,334.25
2020-01-30,321.25
2020-01-31,321.25
2020-02-03,314.25
2020-02-04,331.0
2020-02-05,327.0
2020-02-06,330.75
2020-02-07,328.25
2020-02-10,324.5
2020-02-11,331.25
2020-02-12,334.5
2020-02-13,336.5
2020-02-14,335.75
2020-02-17,331.75
2020-02-18,324.25
2020-02-19,324.5
2020-02-20,327.0
2020-02-21,324.75
2020-02-24,320.5
2020-02-25,320.5
2020-02-26,318.5
2020-02-27,317.5
2020-03-02,312.5
2020-03-03,318.0
2020-03-04,319.5
2020-03-05,324.5
2020-03-06,317.75
2020-03-09,307.75
2020-03-10,305.0
2020-03-11,306.25
2020-03-12,293.0
2020-03-13,283.25
2020-03-16,283.25
2020-03-17,270.75
2020-03-18,266.25
2020-03-19,244.25
2020-03-20,263.0
2020-03-23,257.25
2020-03-24,270.0
2020-03-25,277.0
2020-03-26,277.75
2020-03-27,279.5
2020-03-30,265.75
2020-03-31,271.75
2020-04-01,274.0
2020-04-06,272.75
2020-04-07,282.25
2020-04-08,284.25
2020-04-09,285.25
2020-04-10,280.5
2020-04-13,280.0
2020-04-14,282.75
2020-04-15,287.25
2020-04-16,285.75
2020-04-17,304.5
2020-04-20,305.75
2020-04-21,297.5
2020-04-22,292.75
2020-04-23,297.0
2020-04-24,295.5
2020-04-27,297.25
2020-04-28,296.5
2020-04-29,299.75
2020-04-30,303.25
2020-05-04,295.25
2020-05-05,296.5
2020-05-06,294.25
2020-05-07,296.75
2020-05-08,298.0
2020-05-11,300.0
2020-05-12,296.75
2020-05-13,294.75
2020-05-14,293.75
2020-05-15,296.5
2020-05-18,291.75
2020-05-19,292.75
2020-05-20,292.5
2020-05-21,296.5
2020-05-22,293.0
2020-05-25,290.75
2020-05-26,295.5
2020-05-27,296.75
2020-05-28,295.75
2020-05-29,291.25
2020-06-01,295.0
2020-06-02,296.75
2020-06-03,299.5
2020-06-04,305.0
2020-06-05,310.0
2020-06-08,317.0
2020-06-09,316.5
2020-06-10,321.0
2020-06-11,322.75
2020-06-12,315.0
2020-06-15,313.0
2020-06-16,315.5
2020-06-17,315.25
2020-06-18,314.0
2020-06-19,313.25
2020-06-22,314.25
2020-06-23,314.5
2020-06-24,318.0
2020-06-29,312.5
2020-06-30,312.5
2020-07-01,316.0
2020-07-02,320.0
2020-07-03,328.5
2020-07-06,335.0
2020-07-07,342.0
2020-07-08,340.0
2020-07-09,345.0
2020-07-10,349.25
2020-07-13,352.5
2020-07-14,359.25
2020-07-15,365.5
2020-07-16,357.25
2020-07-17,364.5
2020-07-20,366.25
2020-07-21,379.25
2020-07-22,382.5
2020-07-23,381.0
2020-07-24,388.5
2020-07-27,420.5
2020-07-28,447.5
2020-07-29,425.5
2020-07-30,434.75
2020-07-31,428.75
2020-08-03,419.5
2020-08-04,422.0
2020-08-05,429.75
2020-08-06,434.5
2020-08-07,431.0
2020-08-10,432.5
2020-08-11,432.0
2020-08-12,421.25
2020-08-13,426.75
2020-08-14,425.5
2020-08-17,430.25
2020-08-18,436.25
2020-08-19,432.0
2020-08-20,414.25
2020-08-21,423.5
2020-08-24,429.75
2020-08-25,433.25
2020-08-26,438.5
2020-08-27,448.75
2020-08-28,435.75
2020-08-31,433.0
2020-09-01,431.5
2020-09-02,435.75
2020-09-03,436.5
2020-09-04,429.75
2020-09-07,428.75
2020-09-08,430.25
2020-09-09,425.5
2020-09-10,432.75
2020-09-11,434.5
2020-09-14,438.75
2020-09-15,443.25
2020-09-16,458.75
2020-09-17,450.75
2020-09-18,446.25
2020-09-21,445.0
2020-09-22,438.5
2020-09-23,435.25
2020-09-24,426.0
2020-09-25,424.5
2020-09-28,428.0
2020-09-29,431.5
2020-09-30,432.75
2020-10-05,434.75
2020-10-06,439.75
2020-10-07,440.0
2020-10-08,451.25
2020-10-12,459.75
2020-10-13,460.75
2020-10-14,459.0
2020-10-15,453.25
2020-10-16,452.25
2020-10-19,454.25
2020-10-20,454.0
2020-10-21,453.5
2020-10-22,452.25
2020-10-23,454.75
2020-10-26,452.5
2020-10-27,447.0
2020-10-28,445.0
2020-10-29,437.5
2020-10-30,434.5
2020-11-02,431.75
2020-11-03,440.5
2020-11-04,447.25
2020-11-05,448.5
2020-11-06,452.75
2020-11-09,457.0
2020-11-10,451.5
2020-11-11,452.75
2020-11-12,460.5
2020-11-13,459.25
2020-11-16,476.75
2020-11-17,495.75
2020-11-18,491.75
2020-11-19,494.5
2020-11-20,488.0
2020-11-23,495.25
2020-11-24,495.75
2020-11-25,491.25
2020-11-26,490.75
2020-11-27,489.25
2020-11-30,487.0
2020-12-01,486.75
2020-12-02,496.75
2020-12-03,497.25
2020-12-04,501.25
2020-12-07,510.5
2020-12-08,517.0
2020-12-09,522.0
2020-12-10,512.5
2020-12-11,511.0
2020-12-14,510.5
2020-12-15,507.0
2020-12-16,511.0
2020-12-17,511.5
2020-12-18,509.5
2020-12-21,512.5
2020-12-22,512.5
2020-12-23,508.5
2020-12-24,510.0
2020-12-25,512.5
2020-12-28,512.0
2020-12-29,515.0
2020-12-30,519.5
2020-12-31,527.0
2021-01-04,534.0
2021-01-05,538.5
2021-01-06,548.0
2021-01-07,561.5
2021-01-08,575.5
2021-01-11,579.0
2021-01-12,589.5
2021-01-13,599.0
2021-01-14,592.0
2021-01-15,613.0
2021-01-18,601.0
2021-01-19,622.5
2021-01-20,640.5
2021-01-21,659.5
2021-01-22,657.0
2021-01-25,636.0
2021-01-26,625.0
2021-01-27,618.0
2021-01-28,603.0
2021-01-29,605.0
2021-02-01,599.5
2021-02-02,630.0
2021-02-03,636.0
2021-02-04,626.0
2021-02-05,636.0
2021-02-17,664.0
2021-02-18,660.5
2021-02-19,652.0
2021-02-22,656.0
2021-02-23,638.0
2021-02-24,630.5
2021-02-25,632.0
2021-02-26,612.0
2021-03-02,615.5
2021-03-03,611.5
2021-03-04,606.0
2021-03-05,594.5
2021-03-08,604.0
2021-03-09,590.0
2021-03-10,597.0
